"","fips_code","total_cases_per_100k","total_deaths_per_100k","E_TOTPOP","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT"
"1","01001",33888.1230748285,399.925120402988,58761,20.2,2.8,19.7,9.6,7.4,15.6,23.4,16.4,5.6,0.4,27.4,3.9,15.6,1.4,4,0.9,10.9
"2","01003",30212.0640904807,313.169394225002,233420,18.3,3.4,23.2,8.4,9.3,21.2,21.2,13.9,4.2,0.8,17.7,16.6,10.2,1.9,2.3,1.5,10.9
"3","01005",30477.9515214857,418.056839651084,24877,37.7,5.8,25.1,23.5,10.7,19.8,20.7,18.1,11.3,2,55.4,1.4,29.2,3.8,11.7,12,31.8
"4","01007",36623.0731203092,498.853984090603,22251,29,8.7,23.2,21.1,8.4,16.8,21.2,19.6,7.2,0.3,25.8,2.7,30.6,1.3,7.5,6.4,20.2
"5","01009",31944.75007194,441.796299744402,59077,22.9,6,19.4,18.2,10.2,18.3,23,17,5.3,2.2,14.3,0.9,23.9,2.3,4.8,1,16.9
"6","01011",29599.1479473277,522.85050348567,10328,47.4,3.7,23.3,26.6,12.2,16.6,21.1,11.2,16.3,1.8,79.4,4.1,42.4,0.8,10.4,7.1,38.4
"7","01013",34861.1769664401,695.432274379642,18981,33.8,6.8,22.5,12.4,11,21.2,22.3,16.2,7.2,0.1,49.1,0.8,21.5,0.6,5,1.8,21.4
"8","01015",36097.0024620788,587.971970179577,116162,28.7,6.9,23,14.9,10.8,17.9,21.2,20.2,6.9,0.5,29.5,3.7,14.6,1.7,5.6,3.2,16.6
"9","01017",31593.0891020455,496.937478331214,34612,28.8,3.6,23.1,16.5,10.8,19.7,20.8,20.8,5.6,0.3,45.7,7.2,13.6,5.3,7,1.8,21.4
"10","01019",27137.1015995852,355.020144401452,25069,25.6,4,19.9,18.1,10.2,23.2,18.9,20.3,4.6,0.9,9.3,1.2,26.9,0.7,3.2,1.2,21.8
"11","01021",28961.0101905184,489.587948604342,45140,22.8,5.3,16,17.8,11.5,16.8,23.7,19.4,3.8,2.1,20.9,0.5,30.6,2.6,3.3,1,18.6
"12","01023",17838.8191648907,307.838029836609,12669,31.9,5.2,19.3,17.6,8.2,23.3,19.9,23.6,6.5,0.3,43.5,0.9,33.4,0.6,5.7,1.3,30.5
"13","01025",37427.3570994883,464.047185358661,23058,29.7,12.5,20,18.6,9.5,20.4,22,19.6,7.8,0.1,48.8,1.4,25.2,1.4,10.6,1.6,29
"14","01027",36758.3925680907,661.552537124358,14209,29.1,5.7,20.6,16.7,8.1,20.8,20.5,19.6,5.6,0,19.9,0.7,23.9,2.1,6.4,1.8,24.9
"15","01029",29450.6075013207,482.039091389329,15144,27.7,2.6,17.8,17.5,10.1,19.6,22.8,21.4,4.9,0.4,7.8,0.3,31.5,2.6,6.8,1.1,26
"16","01031",32409.1189155884,459.306559121716,53559,26.2,4.8,20.6,13.4,10.9,17.1,23.7,18.3,8.8,1.7,31.2,1.6,13.3,2,4,1.3,14.8
"17","01033",37744.0195564868,487.166055526454,57270,23.1,3.4,22.9,13.6,7.9,20,20.9,17.3,6.3,0.9,22.3,3.1,8.4,1.4,4.7,0.9,23.8
"18","01035",31565.3075328265,656.530753282654,11576,38.6,4.4,17.9,10.6,8.6,23.4,20.5,20.9,5.6,0,50.3,1.3,26,0.7,7,0.5,33
"19","01037",36838.0288508084,619.614677122664,10329,22.2,4.4,15.3,16.5,6.2,24.4,16.1,25.6,4.7,0,35.8,0.1,30,3.7,3.8,3.5,21.5
"20","01039",31657.8765116403,708.539768792285,37542,30.1,5.5,20.9,14.2,10.3,21.7,21.9,20.8,7.2,0.1,17.5,1,20.4,1.6,6.4,1.9,21.7
"21","01041",36092.3892464975,840.590685346459,13205,28.4,6.1,20.7,17.9,8.5,19.8,22.9,16.9,5.3,0.5,30.1,0.4,26.2,1.1,7.3,1.9,34.6
"22","01043",35932.8983734312,453.083231389607,88284,23.3,4.3,18.6,15.4,10.6,18.8,22.3,18.2,5.8,0.8,9.2,2.7,20.1,1.9,2.9,1.4,15.3
"23","01045",33798.4025882115,495.399858457183,49455,29.6,7.8,23.3,14.3,10,17.5,23.1,20.8,7.5,0.9,32.7,1.7,18,0.7,5.2,1.8,17.2
"24","01047",28959.4531127694,678.390648645827,38326,40.8,9.1,28.4,14.7,9.5,19.4,23.6,19.8,8.7,0.2,73,1.7,17.4,1.4,14.6,1.5,23.9
"25","01049",31618.3035714286,484.095982142857,71680,33.6,3.9,20.6,22.3,14.6,17.3,23.9,15.4,5.5,4.7,20.9,1.1,22.8,3.4,4.2,1.5,17.1
"26","01051",34299.9521061874,415.079708988072,87694,18.7,4.2,18.5,11.5,8.2,15.8,21.7,15.2,6.9,0.7,27.6,3.2,16.3,1.3,4.3,4.9,11.7
"27","01053",34142.2935655013,492.450006801796,36755,38.3,9.2,22.4,17.7,12.3,18.6,22.7,20.3,6.3,0.4,39.8,0.7,20.4,0.5,6.1,6.9,28.6
"28","01055",33287.5333823586,673.452800247707,103348,27.2,6,22.1,13.9,11.7,19.4,21.4,17.4,6.9,0.9,22.9,3.1,10.7,1.7,4.2,1.5,16.4
"29","01057",36503.6509787078,613.60986684666,16297,34.5,9.6,19.7,16.3,10.1,21.2,21.1,23.5,4.8,0.1,16.1,2.6,18.9,1.1,10.7,2,26.6
"30","01059",38261.8474899253,481.084627159414,32011,33.3,3.8,16.6,19.9,12.5,17.1,24.7,17,6.9,4.2,24.8,2.2,15.5,1.6,9.2,0.9,37.8
"31","01061",30025.8940968964,652.981573910759,26647,32,3.9,18.9,16.6,12.1,20.3,21.9,23.9,4,0.6,19.2,0.4,25.5,1.6,6.8,1,25.4
"32","01063",30508.6945237477,700.75266026473,7706,50,4.5,25.1,18.1,13.9,23.7,22,28.2,6.7,0,82.9,3.5,34.2,0.3,13.2,1.7,43.7
